Date,Open,High,Low,Close,Adj Close,Volume,Monthly,60ma,extent_of_fall
2003-01-16,94.875,96.625,93.75,94.875,59.66887664794922,4250368,89.5,,
2003-01-17,94.25,94.5,92.125,93.5,58.80412292480469,2085440,89.5,,
2003-01-20,93.625,93.625,90.75,91.375,57.46766662597656,719616,89.5,,
2003-01-21,93.0,93.0,87.625,88.375,55.58089447021485,1419072,89.5,,
2003-01-22,89.5,90.875,88.0,89.125,56.05260467529297,1536896,89.5,,
2003-01-23,90.0,90.0,82.625,84.125,52.907981872558594,1663168,89.5,,
2003-01-24,85.25,89.875,84.75,86.25,54.244441986083984,4372544,89.5,,
2003-01-27,86.5,87.375,81.875,85.5,53.77275848388672,2513088,89.5,,
2003-01-28,86.0,87.25,83.25,85.625,53.85136032104492,1424768,89.5,,
2003-01-29,86.0,87.375,81.625,83.125,52.27906799316406,1152192,89.5,,
2003-01-30,75.625,86.875,75.625,85.75,53.929988861083984,1078464,89.5,,
2003-01-31,85.625,86.25,83.75,86.125,54.16582107543945,979584,86.125,,
2003-02-03,85.75,87.75,83.75,84.75,53.30107116699219,1852288,86.125,,
2003-02-04,85.625,89.625,85.125,87.75,55.18782806396485,5755392,86.125,,
2003-02-05,87.625,88.75,85.75,87.375,54.95198059082031,2797632,86.125,,
2003-02-06,87.75,88.875,86.375,88.125,55.42367172241211,1016192,86.125,,
2003-02-07,88.75,91.125,87.375,89.875,56.52427291870117,2029184,86.125,,
2003-02-10,91.875,91.875,87.0,87.5,55.03059005737305,637376,86.125,,
2003-02-11,89.625,89.625,87.25,87.5,55.03059005737305,670336,86.125,,
2003-02-12,88.125,88.125,87.125,87.625,55.10921096801758,484096,86.125,,
2003-02-13,87.625,87.625,87.625,87.625,55.10921096801758,0,86.125,,
2003-02-14,88.125,88.125,86.875,87.25,54.87336349487305,904320,86.125,,
2003-02-17,90.125,91.875,88.625,91.125,57.310428619384766,1559104,86.125,,
2003-02-18,93.5,93.5,88.25,88.875,55.89535903930664,468032,86.125,,
2003-02-19,90.0,90.75,87.625,88.375,55.58089447021485,401984,86.125,,
2003-02-20,88.125,89.625,87.75,89.375,56.20980453491211,335872,86.125,,
2003-02-21,88.75,89.5,87.625,88.125,55.42367172241211,300352,86.125,,
2003-02-24,90.0,90.5,87.375,87.5,55.03059005737305,581568,86.125,,
2003-02-25,88.625,88.625,85.0,85.75,53.929988861083984,947264,86.125,,
2003-02-26,87.25,87.25,83.875,84.375,53.065208435058594,633920,86.125,,
2003-02-27,86.25,90.5,83.75,87.625,55.10921096801758,2478272,86.125,,
2003-02-28,87.75,90.0,86.25,89.5,56.28843688964844,2074176,89.5,,
2003-03-03,90.5,91.25,88.0,88.75,55.81674575805664,969792,89.5,,
2003-03-04,89.375,89.375,87.125,87.875,55.26643753051758,312192,89.5,,
2003-03-05,87.375,87.375,85.125,85.75,53.929988861083984,485632,89.5,,
