Date,Open,High,Low,Close,Adj Close,Volume,60_MA,60ma,extent_of_fall
2007-01-25,445.0,457.5,444.5,448.25,335.0533142089844,5086700,418.1375122070313,,
2007-01-29,452.5,452.7374877929688,436.4125061035156,437.9874877929688,327.3824157714844,2466604,418.1375122070313,,
2007-01-31,443.6625061035156,445.0,432.6749877929688,435.7875061035156,325.7379150390625,2301736,435.7875061035156,,
2007-02-01,437.5,451.25,435.0,448.4249877929688,335.18408203125,3664052,435.7875061035156,,
2007-02-02,451.25,456.0,445.875,448.4624938964844,335.21209716796875,2710264,435.7875061035156,,
2007-02-05,448.75,449.25,440.125,441.4624938964844,329.9798278808594,1382504,435.7875061035156,,
2007-02-06,442.5,460.9750061035156,440.5499877929688,448.7124938964844,335.39898681640625,4893920,435.7875061035156,,
2007-02-07,452.0,455.4750061035156,444.5,446.2124938964844,333.5302734375,2094100,435.7875061035156,,
2007-02-08,448.75,452.25,441.2749938964844,443.2000122070313,331.2785949707031,1517868,435.7875061035156,,
2007-02-09,442.5,447.6375122070313,432.5249938964844,434.7250061035156,324.9437866210937,1604412,435.7875061035156,,
2007-02-12,435.0,435.5,412.75,414.8500061035156,310.0878601074219,1617212,435.7875061035156,,
2007-02-13,414.9874877929688,428.4249877929688,403.0750122070313,417.6000061035156,312.1433410644531,2298232,435.7875061035156,,
2007-02-14,413.75,418.25,407.8999938964844,411.5249938964844,307.6024475097656,1275936,435.7875061035156,,
2007-02-15,418.9375,428.75,416.25,420.9500122070313,314.6473388671875,1930092,435.7875061035156,,
2007-02-19,425.75,436.0,420.75,422.5750122070313,315.86199951171875,3192748,435.7875061035156,,
2007-02-20,426.1875,428.25,412.5,413.6375122070313,309.1814880371094,1739340,435.7875061035156,,
2007-02-21,415.0,419.75,412.5,414.4750061035156,309.8075256347656,1348596,435.7875061035156,,
2007-02-22,416.75,426.75,407.5,420.2625122070313,314.1335144042969,2522264,435.7875061035156,,
2007-02-23,421.25,426.7000122070313,390.0,396.7374877929688,296.5492248535156,2577928,435.7875061035156,,
2007-02-26,440.0,440.0,360.0,373.0375061035156,278.8341979980469,5254868,435.7875061035156,,
2007-02-27,369.6749877929688,387.0,367.75,374.2374877929688,279.731201171875,4215328,435.7875061035156,,
2007-02-28,339.75,370.0,327.75,358.875,268.2481994628906,2965084,358.875,,
2007-03-01,338.75,380.0,338.75,373.8500061035156,279.4415283203125,3737944,358.875,,
2007-03-02,373.7625122070313,383.4249877929688,361.7625122070313,365.8125,273.4338073730469,3139468,358.875,,
